,code,name,cr,Prerequisites,description,cross_listes,when_offered,Notes
1251,JRMC 570/5270,Seminar in Mass Communication and National Development,3 cr, N," The role of mass communication in developing nations and its relationship to economic growth, education, socialization, persuasion, and diffusion of innovation.", N," Offered in spring.,",N
1252,JRMC 571/5271,Digital Journalism,3 cr, N," Examination of the ways in which all forms of journalism are converging in the digital realm. Emphasis will include writing and reporting for the internet and other multi-media platforms, such as podcasts and digital phones, and the practical ways in which broadcast and print are merging on the internet.", N," Offered occasionally.,",N
1253,JRMC 580/5280,Television and Digital Broadcasting: Impact and Development,3 cr, N," The development, potential progress, and impact of television and digital broadcasting, including new digital platforms, streaming, public service television; and issues of diversity and balance of content.", N," Offered in fall.,",N
1254,JRMC 590/5290,Special Topics,3 cr, N, Content varies with the instructor. Can be repeated once for credit if content changes., N," Offered occasionally.,",N
1255,LALT 101/1020,Libraries and Learning Technologies,0 cr,, N, N, N,N
1256,LING 252/2200,Introduction to Linguistics,3 cr, N," Major aspects and procedures of the systematic study of human language in its biological and social contexts. Principles and techniques of linguistic analysis as they relate to cognition, symbolization and other aspects of culture", N, N,N
1257,LING 200/2201,Languages of the World,3 cr, N," This course aims to acquaint students with basic knowledge of the world’s natural languages. We will look at the diversity and fundamental similarities among the languages of the world and, in doing so, explore the following topics: language families and historic relationships, linguistic typology and language universals, language policy and politics, writing systems, and language obsolescence", N, N,N
1258,LING 268/2210,Principles and Practice of Teaching English,3 cr," ,RHET 2010, , ."," This course introduces the latest theories, principles and techniques of teaching English. It is a community based learning course and gives students practice by peer teaching, observing others teach and actual teaching in the community in order to learn to reflect and evaluate critically", N, N,N
1259,LING 000/2220,Language and Society,3 cr, N," This course deals with the relation between language and society. It tackles issues pertaining to the relation between our gender and the way we talk, and how does our social background affect the way we speak and judge others’ way of speaking", N, N,N
1260,LING 000/2230,Language and Communication,3 cr, N," The course examines the complex and multifaceted interplay between language and communication in multiple social contexts. It shows how variation in language use from genre to genre and from context to context could either enhance communication, or lead to miscommunication. Negotiating meaning in areas of sociology, anthropology, politics and business are all contexts where language plays a pivotal role in reaching successful communication. The course incorporates theoretical frameworks as provided by pragmatics, intercultural sociolinguistics and discourse analysis in order to examine the relationship between language and communication within the same context and between different context where other social factors affect communication", N, N,N
1261,LING 299/2299,Selected Topic for Core Curriculum,3 cr," ,RHET 1000, , ."," Course addressing broad intellectual concerns and accessible to all students, irrespective of major..", N, N,N
1262,LING 352/3075,Language in Culture,3 cr, N," The role played by language in humankind’s symbolic relation to the world. Emphasis on linguistic analysis, ethnosemantics, sociolinguistics, expressive speech, and language and socialization as these elucidate patterns of cognitive orientation."," Same as ,ANTH 3075, ,.,", N,N
1263,LING 322/3220,Introduction to Phonetics,3 cr, N, Study of the articulatory and acoustic properties of speech sounds and features of language with particular reference to English and Arabic. Includes introductory work in transcription and technological developments in phonetic research, N, N,N
1264,LING 000/3320,Language and Politics,3 cr," , LING 252/2200 - Introduction to Linguistics (3 cr.), ,", This course explores how language reflects and makes political thought and ideologies. It will also shed light on issues of language and national identity, N, N,N
1265,LING 000/3330,Introduction to Corpus Linguistics,3 cr," , LING 252/2200 - Introduction to Linguistics (3 cr.), ,"," This course introduces corpus linguistics (CL) as a means of analyzing language using computer concordancing software and the Internet. Through using various search techniques, students will be able to explore English vocabulary and grammar as well as other aspects of language use such as collocation, idioms, phraseology, and discourse", N, N,N
1266,LING 422/4212,Language and Human Development,3 cr, N," Linguistic and psychological concepts in first- and second-language learning; human perceptual and productive language processes; biological foundations of language, bilingualism and multilingualism; and inferences from animal communication", N, N,N
1267,LING 000/4410,Introduction to Computational Linguistics,3 cr," , CSCE 110/1101 - Fundamentals of Computing II (3 cr.), , ;, LING 252/2200 - Introduction to Linguistics (3 cr.), , ; , LING 000/3330 - Introduction to Corpus Linguistics (3 cr.), ,"," Computational linguistics is an interdisciplinary field of study that brings linguistics and computer science together. This course introduces students to the main concepts of the field and its real-world applications, including, but not limited to, machine translation and information retrieval. Furthermore, it gives students hands-on experience with using and developing computational linguistics tools such as part-of-speech taggers, morphological analyzers, syntactic parsers, and semantic interpreters. To use and develop such tools, students will learn about regular expressions, programming for text analysis, and machine learning. No prior knowledge of computer science or programming is required for this course", N, N,N
1268,LAW 471/4371,Introduction to Public International Law,3 cr, N," Introduces students to the practice and theoretical foundations of public international law, covering such topics as sources doctrine (customary international law, treaty law etc.), international personality, jurisdiction, state responsibility, self-determination and the use of force. This course may be counted towards the Dual Degree Option combining a BA in Political Science and an MA in International Human Rights Law"," Same as ,POLS 4371, , ."," Offered in fall and spring.,",N
1269,LAW 475/4375,Introduction to Egyptian and Islamic Law,3 cr, N," The Egyptian legal system will be considered according to its present structure and historical development, including institutions, processes, laws, and the courts. There will be special emphasis on developments in constitutional law and the role played by the constitution in the political context of present day Egypt. The course also offers an introduction to Islamic jurisprudence in the classical doctrine, in the pre-modern Egyptian legal system and in contemporary Egypt. This course may be counted towards the Dual Degree Option combining a BA in Political Science and an MA in International Human Rights Law"," Same as ,POLS 4375, , ."," Offered once a year.,",N
1270,LAW 478/4378,Introduction to International Human Rights Law,3 cr, N," The course provides an overview of the major human rights treaties, customary norms, international institutions and mechanisms of enforcement while at the same time, encouraging a critical stance, which questions the role and effect of human rights in a world of distress and inequality. This course may be counted towards the Dual Degree Option combining a BA in Political Science and an MA in International Human Rights Law"," Same as ,POLS 4378, , ."," Offered once a year.,",N
1271,LAW 500/5200,Legal Research and Writing,3 cr, N," A workshop designed to develop the lawyering skills in research, drafting, legal argument and oral presentation, especially with respect to practice in transnational legal problems and settings. Required of all students in the LL.M program during the first semester of study", N, N,N
1272,LAW 501/5201,Jurisprudence,3 cr," ,LAW 5200, ,"," The course will look at the major contemporary debates in legal theory. It introduces students to different schools of legal theory including Sociological Jurisprudence, Legal Realism, Legal Process, Critical Legal Studies, Liberal Legalism, Critical Race Theory, Feminist Legal Theory and Law and Economics. The course aims at introducing students to different and innovative legal methodologies.", N," The course is normally offered in the spring semester.,",N
1273,LAW 502/5202,Comparative Law,3 cr, N," Introduction to the main differences between Civil Law and Common Law systems with respect to selected problems regulated under public and private law regimes. The comparative study will concentrate on the American, German, and French legal systems", N, N,N
1274,LAW 503/5203,Law and Economic Development,3 cr, N, Exploration of the relationship between different strategies of economic development and legal reforms in the public and private spheres from a comparative law perspective, N," Normally offered in the spring semester,",N
1275,LAW 505/5205,Islamic Law Reform,3 cr," ,LAW 5202, , or ,LAW 5209, ,"," Exploration of different approaches to reforming Islamic law in the Arab World from the mid-nineteenth century to the present, paying special attention to contemporary developments in Arab legal systems.", N," This course is normally offered in the spring semester.,",N
1276,LAW 506/5206,Egyptian Legal History,3 cr, N," This course explores Egypt’s various waves of “legal reform” over the past two centuries, paying close attention to the fields of constitutional law and human rights, as well as family, commercial, and criminal law. We also examine the emergence of the modern Egyptian legal elite, its rise to political and intellectual prominence, its fall during the Nasser years, and its potential for public policy impact today. Egypt’s modern legal history is set in a larger “law and development” policy frame, exploring ramifications on the rule of law, economic and political liberalization, and calls for a “return to shari’a” by Islamist political actors today. This course is offered at irregular intervals. Please contact the Department of Law for information about its availability", N, N,N
1277,LAW 507/5207,The Law and Practice of the Settlement of International Disputes Between States,3 cr," ,LAW 5209, , and ,LAW 5210, , (prerequisites can be waived by special permission of the Law Department)."," The course combines the fundamentals of the law governing the settlement of international disputes between states and a Moot Court exercise. The two components of the course are intertwined. The course thus aspires to combine theoretical and practical dimensions of the experience of international dispute settlement. The doctrinal part of the course includes a general overview of the methods for dispute settlement in public international law, and basic procedural norms and principles governing international legal proceedings. The course looks in detail at specific institutions, such as the International Court of Justice, the Permanent Court of Arbitration, the Iran-United States Claims Tribunal, the International Tribunal for the Law of the Sea, and others. Students will have the opportunity to study recent developments in the theory, practice and in policy debates underlying the system of international dispute settlement", N," Normally offered in the fall semester.,",N
1278,LAW 508/5208,International Criminal Law,3 cr," , LAW 5209, , ,,LAW 5210, ,"," The course will cover the central doctrines, procedures and institutions of International Criminal Law with emphasis on contemporary debates. It will consist in an overview of the main doctrines that “frame” international criminal law and set the conditions for its existence as a distinct field of legal practice, as well as substantive international crimes (Elements of crimes, War crimes, Crimes against humanity, Genocide, Aggression and Crimes against peace) and international criminal courts and tribunals.", N," This course is normally offered in the spring semester.,",N
1279,LAW 509/5209,International Law,3 cr, N," An in-depth overview of the international legal system.The course will cover the fundamental concepts, institutions, processes and mechanisms of international law.Some of the topics that will be covered include: the relationships between public and private international law, the question of sovereignty, the sources of international law, and the place of non-State actors.", N," Normally offered only in the fall semester.,",N
1280,LAW 515/5215,Comparative Constitutional Law and Human Rights,3 cr, N," How constitutional rights, concepts and practices have merged and developed within contemporary governments.Emphasis will be on the analysis of civil, political, economic, social and cultural rights together with freedoms and liberties protected by various constitutions, considered within their social and political contexts. This course is offered at irregular intervals. Please contact the Department of Law for information about its availability", N, N,N
1281,LAW 520/5220,Justice: Histories and Theories,3 cr, N," This course introduces students to justice as a problem in contemporary cultural, legal and philosophical debates. The course explores the different domains through which justice becomes a universal language of rights, and the resultant compartmentalization of human experiences along parameters in which culture is presumed to be non-existent, rendering different forms of justice, such as gender justice, appendixes to the already known. This course will engage with questions of distribution of justice - economic, social, political, historical- in the contemporary world with special focus on locating theories of justice in the practice thereof. It is conceived as laying the intellectual foundation for the GWST gender and justice graduate concentration, for graduate work in IHRLand other related fields. This is a joint course offered by the Institute for Gender and Women’s Studies and the Department of Law", N, N,N
1282,LAW 000/5221,Law and Patriarchy,3 cr, N," What does it mean to look at law from a feminist perspective? How can a critical reading of patriarchal society inform our legal analysis and our uses of the law? This course explores how structures of domination - capitalism, white supremacy, and patriarchy - have been historically codependent through systems of law and governance. It also explores how feminist movements have critically navigated around and against these structures of domination through law, and other means. Gender justice has been at the core of international human rights law and practice in the Global South. This course makes explicit broader theoretical questions about the relationship between law and patriarchy through classic texts on feminism, transfeminism, queer theory, critical race feminism, and masculinity studies, among other approaches. It engages with various themes that initially developed from outside of the academy, such as intersectionality, and capitalism’s reliance on unpaid housework, cohering feminist movements as spaces of knowledge-production, and for the articulation of feminist methodology. The course therefore focuses on how feminist methodology can reveal the distributional effects of legal outcomes, break gender binaries, and complicate North-South dichotomies.", N," Normally offered only in the fall semester.,",N
1283,LAW 522/5222,International Economic and Trade Law,3 cr, N," Rules of law and policy of economic relations under the GATT/WTO system, as well as regional agreements on trade partnerships between the European Union and the Arab Mediterranean. This course is offered at irregular intervals. Please contact the Department of Law for information about its availability", N, N,N
1284,LAW 523/5223,International Commercial Arbitration,3 cr," ,LAW 5202, , or ,LAW 5209, , (Prerequisites can be waived by special permission of the Law department)."," The law of international commercial arbitration considered from a comparative perspective in major Civil and Common Law jurisdictions, as well as its practice in the context of international transactions. This course is offered at irregular intervals. Please contact the Department of Law for information about its availability", N, N,N
1285,LAW 524/5224,Comparative Corporate Governance,3 cr," ,LAW 5202, ,"," Comparison of how select questions of corporate governance, control, and finance are regulated under American, French, German, and Egyptian corporate law", N, N,N
1286,LAW 525/5225,Securities Regulation Law,3 cr," ,LAW 5202, ,"," Legal and institutional framework for the offering, purchase and sale of investment securities under US, EU and Egyptian law, with special attention to national and transnational aspects of securities fraud. This course is offered at irregular intervals. Please contact the Department of Law for information about its availability", N, N,N
1287,LAW 526/5226,Antitrust Law,3 cr," ,LAW 5202, , (Prerequisites can be waived by special permission of the Law department)."," Basic principles of antitrust regulation in the US from the Sherman Act to the present, compared with recent developments in EU law, and with the Egyptian Competition Law. This course is offered at irregular intervals. Please contact the Department of Law for information about its availability", N, N,N
1288,LAW 527/5227,Graduate Law Seminar,3 cr, Permission of the Department. Prerequisites can be waived by special permission of the Law Department.," Reading, discussion and intensive writing about theory and methodology in law, political theory, and relevant social sciences. This course is a pre-requisite to the Thesis requirement for all students in the LL.M. in International and Comparative Law, and MA in International Human Rights Law. The course targets students who have completed at least nine credits hours toward the degree", N, N,N
1289,LAW 528/5228,Migration in International Law,3 cr," ,LAW 5209, , and ,LAW 5210,"," The Arab region experiences mass voluntary and involuntary population movements, driven by various factors including economic reasons, conflict and insecurity, and increasing resource scarcity and environmental change. These movements pose a challenge to regional stability and security unless there are appropriate and integrated national, regional and international responses. A course on Migration in International Law allows students to engage with issues of growing regional and international importance. While the Center for Migration and Refugee Studies offers courses in International Refugee Law and Comparative Migration Law, there is presently no course that introduces the complex and growing area of international law dealing with migration."," Same as ,MRS 5228, ,.,", N,N
1290,LAW 585/5285,Legal Practice,3 cr, Consent of the instructor.," Internship for four to six months in a corporation, law firm practicing in the Middle East, international organization, an NGO pursuing Development activities", N, N,N
1291,MGMT 307/3201,Management Fundamentals,3 cr, N," Aims at acquainting the student with the basic management functions and processes with a focus on planning, organizing, leading and controlling. Stresses how communication, motivation, and teamwork affect the organization, how organizations are managed, and how managers apply their skills and knowledge to meet the organizational objectives. Emphasis on the environmental constraints imposed on the Egyptian manager and applying principles of management in Egyptian enterprises.", N, Offered in fall and spring.," Enrollment in is limited, and priority is given to students seeking the Bachelor of Business Administration degree or the Bachelor of Accounting degree, students enrolling in specified as collateral requirements in other majors, and students who have declared business administration as a minor"
1292,MGMT 311/3301,Business Law (Commercial & Fiscal),Commercial & Fiscal) (3 cr," , BADM 203/2001 - Introduction to Business (3 cr.), , or , MGMT 307/3201 - Management Fundamentals (3 cr.), ,"," ,The nature, formation, and application of the law. Topics include: law and the Egyptian business environment, contracts, agency, forms of business organization, fiscal policy, taxation, commercial transaction, and governmental regulation of business.", N, Offered in fall and spring.," Enrollment in is limited, and priority is given to students seeking the Bachelor of Business Administration degree or the Bachelor of Accounting degree, students enrolling in specified as collateral requirements in other majors, and students who have declared business administration as a minor"
1293,MGMT 404/4202,Managing the Human Capital,3 cr," ,MGMT 3201, , or ,BADM 2001, ,"," This course focuses on dynamics of personality, group dynamics, team building, organization culture, motivation, leadership, and communication, what is the human capital, strategic human resource management, HR planning, job analysis, recruitment, selection, training, development, performance management and compensation.", N," ,Offered Fall and Spring,"," Enrollment in is limited, and priority is given to students seeking the Bachelor of Business Administration degree or the Bachelor of Accounting degree, students enrolling in specified as collateral requirements in other majors, and students who have declared business administration as a minor"
1294,MGMT 427/4203,Organization Development,3 cr," ,MGMT 3201,"," Inter-group dynamics, organizations as systems, process of organizational development, intervention strategies, organizational diagnosis, team building, structural intervention, behavioral change, resistance to change, and implementation strategies.", N, Offered occasionally.," Enrollment in is limited, and priority is given to students seeking the Bachelor of Business Administration degree or the Bachelor of Accounting degree, students enrolling in specified as collateral requirements in other majors, and students who have declared business administration as a minor"
1295,MGMT 470/4402,Business Consultancy,3 cr," Junior standing & ,BADM 2001, ,"," This course aims to equip Business, Accounting and Economics students with the necessary tools to work in the business consulting field. The approach is practical, involving a series of case solving assignments and projects. Additionally, students will be trained on how to communicate their solutions effectively", N, N,N
1296,MGMT 470/4970,Special Topics in Management,3 cr, Prerequisite: Consent of Instructor., Considers selected topics of current relevance in management., N, Offered occasionally.," Enrollment in is limited, and priority is given to students seeking the Bachelor of Business Administration degree or the Bachelor of Accounting degree, students enrolling in specified as collateral requirements in other majors, and students who have declared business administration as a minor"
1297,MGMT 475/4975,Independent Study in Management,1-3 cr, Prerequisites: Senior standing and consent of MGMT unit head and chair.," Guided readings, research, and discussions on specific selected topic in Management.", N, Offered occasionally.," Enrollment in is limited, and priority is given to students seeking the Bachelor of Business Administration degree or the Bachelor of Accounting degree, students enrolling in specified as collateral requirements in other majors, and students who have declared business administration as a minor"
1298,MGMT 502/5202,Managing Organizations in a Dynamic Environment,3 cr, N," The course aims at acquainting the student with how a leader could manage an organization in a dynamic environment. The course focuses on the main functions of a manager such as planning, organizing, controlling, motivation, team building and with special emphasis on leadership. It emphasizes contemporary and applied management in a global and dynamic environment. It also aims at developing an understanding of the tasks that managers must perform to keep the organization running both effectively and efficiently. In addition, the course emphasizes the environmental constraints imposed on the Egyptian manager and attempts to explore ways of applying the principles of management in Egyptian enterprises."," Same as ,GREN 5223, , ."," Offered in fall and spring.,",N
1299,MGMT 504/5302,Managing Organizations and the Human Capital,3 cr, N," The course provides the student with how to effectively and efficiently lead an organization in a dynamic environment. The course focuses on two main areas: the basic functions of a manager and managing the human capital. The basic function of a manager include: planning, organizing, controlling with special emphasis on leading, team building, organizational culture and managing change. Managing the human capital focuses on how to attract, develop and retain talented employees. It also presents the importance of positive psychological capital. The course includes a critical analysis of how the concepts in the literature can be applied in the Egyptian context.", N," Offered in spring.,",N
1300,MGMT 505/5303,Organizational Design,3 cr," ,MGMT 5202, , or equivalent."," The course covers topics like strategy and structure, vertical and horizontal integration, structural options, process of organizational design, the concept of fit, designing jobs and organizational units and control elements in the design of organizations.", N," Offered occasionally.,",N
1301,MGMT 506/5304,Management of International Business Organizations,3 cr," ,BADM 5310, ,"," In this course, attention is given to principles, practices, and problems of managing international business activities, entry decision, supply strategy, ownership and control, labor and legal issues, and the financial and management implications of conducting business in foreign countries. The course covers topics such as world politics and how they come to bear on international business decisions, cultural differences and communication, trade regimes and institutions and global technological trends and diffusion", N," Offered occasionally.,",N
1302,MGMT 509/5306,Leadership,3 cr," ,BADM 5310, ,", N, N, N,N
1303,MGMT 510/5307,Entrepreneurship and Innovation,3 cr, N," Innovation lies at the heart of economic growth in the modern world. Entrepreneurs with the ability and resourcefulness to establish their own business are critical to the process of innovation. Innovation is not just about starting a new business but it is also about creating and developing Innovative ways of management. Whether you are thinking of starting a new venture or developing innovative mechanisms of management in a large organization, you will need to understand Entrepreneurship and Innovation", N, N,N
1304,MGMT 511/5308,Strategic Management of Innovation,3 cr," ,BADM 5310, ,"," Innovation is regarded as a critical source of competitive advantage in an increasingly changing environment. Innovation is production or adoption, assimilation, and exploitation of a value-added novelty in economic and social spheres; renewal and enlargement of products, services, and markets; development of new methods of production; and establishment of new management systems. This course will study the theory and practice of innovation as a process and an outcome based on a comprehensive model of innovation which consists of three determinants: innovation leadership, managerial levers and business processes. The course will examine the impact of accelerating innovation on cost, product quality and marketability; organizational changes required to couple R&D with marketing and commercialization; and the managerial skills and professional expertise needed to develop a sustainable innovation practice within an organization", N, N,N
1305,MGMT 517/5309,Technology and Innovation Management,3 cr, Core requirements met and consent of instructor., This is a case based course drawing on best practices in industry and the most up to date and important general management technology and innovation management academic material. Students should be prepared to discuss major technology issues covered in the readings each class. This course is designed to develop strong technology management skills to help managers make good decisions in regard to technology strategy and implementation of technology within their firms. This course is designed to develop general managers with strong abilities to lead in various technological environments and manage the innovation process and projects across and within their own function effectively.," Same as ,ECNG 5272, , .,", N,N
1306,MGMT 570/5370,Selected Topics in Management,3 cr," ,BADM 5310, ,", It considers selected topics of current relevance in Management., N," Offered occasionally.,",N
1307,MGMT 575/5375,Independent Study in Management,1-3 cr, Prerequisite: Consent of MGMT unit head and chair.," Guided readings, research, and discussions on specific selected topic in Management.", N," Offered occasionally.,Management of Information Systems,",N
1308,MOIS 305/2101,Introduction to Information Systems/Technology,3 cr, N," This course is an introduction to information systems/technology and its applications for business students. The course explores the computer base applications in the major functional areas of business including accounting, finance, marketing, production, and personnel. It aims at the development of computer end-users and systems managers through a comprehensive coverage of business processes, systems concepts, systems types, applications software, database concepts, electronic commerce and competitive advantage.", N, Offered in fall and spring.," Enrollment in is limited, and priority is given to students seeking the Bachelor of Business Administration degree or the Bachelor of Accounting degree, students enrolling in specified as collateral requirements in other majors, and students who have declared business administration as a minor"
1309,MOIS 406/3201,Management Information Systems and Database Management,3 cr," ,MOIS 2101, , ."," The course aims at defining a framework of management information systems with emphasis on the organization. It relates to a number of important organizational aspects such as the human and technological infrastructure and the needs and requirements of an organizational information system. The course also covers the relational database model, with special emphasis on the design and querying of relational databases and exploration of the relationship of database to the rest of the system.", N, Offered in fall and spring.," Enrollment in is limited, and priority is given to students seeking the Bachelor of Business Administration degree or the Bachelor of Accounting degree, students enrolling in specified as collateral requirements in other majors, and students who have declared business administration as a minor"
1310,MOIS 435/3301,Entrepreneurial IT and Electronic Business,3 cr," ,MOIS 2101, ,"," This course provides an introduction to the basics of modern business in a networked environment which is changing the landscape of business operation. The course focuses on the important electronic business issues with a broad understanding of the concepts, technologies, tools, techniques and strategies associated with electronic business, students learn how to exploit the business development potentials of the new information based society and how to develop simple IT solutions to some of the most significant business problems. Hence, students get to exercise needs finding methods, brainstorming and concept creation, understanding and interpreting IT business needs, analysis and feasibility, basic prototyping and market assessment.", N, Offered in fall & spring.," Enrollment in is limited, and priority is given to students seeking the Bachelor of Business Administration degree or the Bachelor of Accounting degree, students enrolling in specified as collateral requirements in other majors, and students who have declared business administration as a minor"
1311,MOIS 466/3401,Human Computer Interaction (HCI),HCI) (3 cr," ,MOIS 2101, ,"," This course provides a business-oriented approach to Human Computer Interaction (HCI). It merges theories and concepts with methods of design, evaluation, and implementation of any interactive business system such as enterprise resource planning (ERP), organizational decision support, project management, and other business applications. HCI combines educational and cognitive psychology, business administration, as well as ergonomics and computer science in designing the business system that can greatly increase productivity, help in decision making and gain marketing advantages. Students do not only study the theory and principles of HCI design, but also design an interactive system that enables the users to do tasks quickly and work in an environment of proficiency and satisfaction", N, N,N
1312,MOIS 423/3501,Geographic Information Systems (GIS),GIS) (3 cr," ,MOIS 2101, ,"," This course provides an introduction to the use of the geographic information systems (GIS) and its applications for business decision support. It builds working knowledge and skills in applying and managing GIS by focusing on business and people related issues. Students learn to set up geo-referenced databases, to design maps, to analyze data, to extract information. This course exposes students to the functional areas in the technology management stream and gives them a practical hands-on experience for business applications. By the end of the class students will have mastered sufficient introductory concepts and practical skills to use GIS for business decision making improvement", N, N,N
1313,MOIS 432/3601,Decision Support Systems and Business Intelligence,3 cr," ,MOIS 2101,"," This course will demonstrate in the real environment managerial applications such as the basics of the MS SQL data mining and will provide the knowledge about the possibilities of Business Intelligence (BI) use. It will examine the BI tasks management, critical success factors of BI, planning and analysis design and modeling design, development and implementation of information technology based systems that support managerial and professional work, including Communications-Driven and Group Decision Support Systems (GDSS), Data-Driven DSS, Model-Driven DSS and Knowledge-Driven DSS.", N, Offered in fall & spring.," Enrollment in is limited, and priority is given to students seeking the Bachelor of Business Administration degree or the Bachelor of Accounting degree, students enrolling in specified as collateral requirements in other majors, and students who have declared business administration as a minor"
1314,MOIS 433/3701,Marketing Information Systems,3 cr," ,MOIS 2101,"," This course focuses on the issues relating to the management and use of information systems in order to support marketing management decision-making with emphasis on the areas of products, pricing, distribution, promotion, systems analysis, and functional information systems. Students learn the importance of: (1) developing an effective data base; (2) conducting marketing research studies; (3) creating a marketing plan; (4) using data mining techniques to extract data from data warehouses and build prognostic models and (5) incorporating technology tools to develop marketing information systems and decision support systems.", N, Offered in fall & spring.," Enrollment in is limited, and priority is given to students seeking the Bachelor of Business Administration degree or the Bachelor of Accounting degree, students enrolling in specified as collateral requirements in other majors, and students who have declared business administration as a minor"
1315,MOIS 434/3702,Financial Information Systems,3 cr," ,MOIS 2101, ,", The content of this course will vary to keep pace with changing business needs and information technologies that is an integral part of any business aspect in Finance. Topics to be covered will apply the theoretical concepts taught in Finance by practically using advanced information systems approaches., N, N," Enrollment in is limited, and priority is given to students seeking the Bachelor of Business Administration degree or the Bachelor of Accounting degree, students enrolling in specified as collateral requirements in other majors, and students who have declared business administration as a minor"
1316,MOIS 444/3703,Accounting Information Systems,3 cr," ,MOIS 2101,", This course focuses on application of information systems/information technology in the fields of accounting. It starts with the conceptual foundations of accounting information systems and information technology in general and covers control and audit. It also focuses on accounting information systems applications and explores the computerization of the traditional transaction processing cycles in detail. It requires the students to use their knowledge in accounting to analyze and design an accounting information systems., N, Offered occasionally.," Enrollment in is limited, and priority is given to students seeking the Bachelor of Business Administration degree or the Bachelor of Accounting degree, students enrolling in specified as collateral requirements in other majors, and students who have declared business administration as a minor"
1317,MOIS 450/3801,Strategic Information Systems,3 cr," ,MOIS 2101,"," The course aims to provide students with an understanding of the links between the strategic issues of the organization and the role and implications of management information systems. The course focuses on the strategic impacts different information systems can have on productivity, performance, competitiveness and organizational growth.", N," Offered occasionally.,",N
1318,MOIS 430/4202,Business Information Systems Analysis and Development,3 cr," ,MOIS 3201, ,", The Course emphasizes various elements related to business information systems analysis and development in the new digital economy. Doing business is not as usual as before with the use of innovative information and communication technology tools and techniques and this course intends to introduce students to the opportunities enabled by various business information systems within the information economy., N, Offered in spring.," Enrollment in is limited, and priority is given to students seeking the Bachelor of Business Administration degree or the Bachelor of Accounting degree, students enrolling in specified as collateral requirements in other majors, and students who have declared business administration as a minor"
1319,MOIS 477/4704,Big Data and Predictive Analysis,3 cr," ,MOIS 3201, , and ,MACT 2222, , and ,CSCE 1101, ,"," This course examines information management in the context of massive sets of data, provides students proficiency with a variety of data analysis tools, and exposes learners to varied data platforms as well as skills and concepts related to data mining and statistical analysis within a business context. The focus of the course is on the wide range of technologies available today as well as the methodologies of data analytics for solving Big Data problems. This course explores the role of business analytics in supporting decision making and setting strategies at the highest levels. Students will be exposed to the analytical skills needed to turn big data into a strategic resource. Students will work on application areas that create or use big data and will be expected to work on relevant projects mainly focusing on the 5 key Big Data use cases: Big Data exploration, enhanced 360 view of the customer, security/intelligence, extension, operations analysis, and data warehouse augmentation", N, N,N
1320,MOIS 470/4970,Special Topics in Management of Information Systems,3 cr, Prerequisite: Consent of Instructor., Considers selected topics of current relevance in management of information systems., N, Offered occasionally.," Enrollment in is limited, and priority is given to students seeking the Bachelor of Business Administration degree or the Bachelor of Accounting degree, students enrolling in specified as collateral requirements in other majors, and students who have declared business administration as a minor"
1321,MOIS 475/4975,Independent Study in Management of Information Systems,1-3 cr, Prerequisites: Senior standing and consent of MOIS unit head and chair.," Guided readings, research, and discussions on specific selected topic in Management of Information Systems.", N, Offered occasionally.," Enrollment in is limited, and priority is given to students seeking the Bachelor of Business Administration degree or the Bachelor of Accounting degree, students enrolling in specified as collateral requirements in other majors, and students who have declared business administration as a minor"
1322,MOIS 499/4999,Internship and Graduation Project,3 cr, Completion of all MOIS core courses.," The course offers the students the opportunity to participate in real-life work experience in the IS/IT field. Students in collaboration with the MOIS unit will be responsible for their own placement in an internship approved by the advisor. The internship report details everything the student did during the internship. Additionally each student will be able to analyze the business processes’ current performance, identify problems, and suggest solutions by applying foundations of information technologies and to be able employ appropriate methodologies to achieve the designed improvements. Students should submit a plan followed by progress reports and finally deliver the thesis project document and presentation of the findings", N, Offered in fall and spring.," Enrollment in courses is limited, and priority is given to students seeking the Bachelor of Business Administration in Management of Information Systems (MICT) degree or any other student who completed the prerequisite of all other MOIS courses"
1323,MOIS 508/5201,Information and Communication Technology in Business,3 cr, N," Today’s electronic means, computing, networks and software applications have become an integral part of business. The premise of the course is that adequate knowledge of technology is now a prerequisite for a successful business owner or manager. This course is intended to provide a basic technical literacy, with an emphasis on implications for organizations. The technical component of the course includes data and voice communication networks, database structures as a significant tool for managing information, artificial intelligence, business intelligence, data modeling, data integration, data warehousing and data mining, as well as information support systems design, and computer security.", N," Offered in fall and spring.,",N
1324,MOIS 000/5202,Data Sciences in Business,1.5 cr," Co-requisite: ,MOIS 5211, ,"," Digital transformation has been affecting both existing organizations as well as new. This course introduces the fundamental principles of data science and covers what managers need to know about data mining and data-analytic thinking necessary for extracting useful knowledge and business value from the data they collect. Topics include: Understanding how data science fits in your organization-and how you can use it for competitive advantage, treating data as a business asset that requires careful investment if you’re to gain real value, approaching business problems data-analytically, using the data-mining process to gather good data in the most appropriate way, learning general concepts for actually extracting knowledge from data, and applying data science principles when interviewing data science job candidates", N, N,N
